id_recebimento,cliente,data_emissao,data_vencimento,descricao,valor,status,forma_pagamento
7001,Cliente Nova Era,2026-01-05,2026-02-04,Serviço recorrente,2023.18,Recebido,Transferência
7002,Cliente Delta,2026-01-06,2026-02-05,Consultoria,14775.6,Pendente,Boleto
7003,Cliente Nova Era,2026-01-08,2026-02-07,Prestação de serviço,7036.42,Recebido,Transferência
7004,Comercial Oeste,2026-01-10,2026-01-17,Prestação de serviço,9713.74,Em atraso,Boleto
7005,Grupo Prudente,2026-01-11,2026-01-18,Consultoria,2465.33,Pendente,Boleto
7006,Comercial Beta,2026-01-13,2026-02-12,Prestação de serviço,545.22,Recebido,PIX
7007,Cliente Delta,2026-01-15,2026-03-01,Serviço recorrente,11664.74,Em atraso,Cartão
7008,Comercial Oeste,2026-01-16,2026-03-02,Contrato mensal,9515.57,Pendente,Cartão
7009,Comercial Oeste,2026-01-18,2026-02-02,Serviço recorrente,10886.92,Pendente,Transferência
7010,Comercial Beta,2026-01-20,2026-02-10,Serviço recorrente,14390.52,Recebido,Cartão
7011,Grupo Prudente,2026-01-21,2026-03-07,Prestação de serviço,11815.6,Recebido,Boleto
7012,Empresa Horizonte,2026-01-23,2026-01-30,Contrato mensal,3558.54,Recebido,Boleto
7013,Empresa Horizonte,2026-01-25,2026-03-11,Prestação de serviço,6813.52,Recebido,PIX
7014,Comercial Oeste,2026-01-26,2026-02-10,Venda de produtos,16353.09,Recebido,PIX
7015,Empresa Horizonte,2026-01-28,2026-02-12,Prestação de serviço,13974.03,Pendente,Cartão
7016,Empresa Alpha,2026-01-30,2026-02-20,Prestação de serviço,10241.15,Recebido,Transferência
7017,Comercial Oeste,2026-01-31,2026-03-17,Prestação de serviço,4973.79,Pendente,Cartão
7018,Comercial Oeste,2026-02-02,2026-02-09,Contrato mensal,5786.06,Em atraso,Cartão
7019,Cliente Delta,2026-02-04,2026-02-11,Prestação de serviço,13309.27,Em atraso,Cartão
7020,Empresa Horizonte,2026-02-05,2026-03-07,Contrato mensal,15395.55,Recebido,Cartão
7021,Grupo Prudente,2026-02-07,2026-02-14,Consultoria,12249.93,Pendente,Boleto
7022,Comercial Oeste,2026-02-09,2026-03-02,Venda de produtos,14666.77,Recebido,Transferência
7023,Cliente Nova Era,2026-02-10,2026-03-03,Contrato mensal,13916.48,Recebido,Boleto
7024,Grupo Prudente,2026-02-12,2026-02-19,Consultoria,3119.82,Pendente,Transferência
7025,Empresa Alpha,2026-02-14,2026-02-21,Contrato mensal,7919.03,Recebido,PIX
7026,Cliente Delta,2026-02-15,2026-03-17,Contrato mensal,3177.22,Recebido,Cartão
7027,Comercial Beta,2026-02-17,2026-02-24,Venda de produtos,4616.62,Recebido,Boleto
7028,Grupo Prudente,2026-02-19,2026-03-21,Serviço recorrente,15712.04,Recebido,Transferência
7029,Comercial Oeste,2026-02-20,2026-03-22,Serviço recorrente,8775.61,Recebido,PIX
7030,Empresa Alpha,2026-02-22,2026-03-01,Contrato mensal,9868.77,Recebido,PIX
7031,Grupo Gamma,2026-02-24,2026-03-11,Prestação de serviço,3622.8,Pendente,Cartão
7032,Empresa Alpha,2026-02-25,2026-03-12,Consultoria,5964.76,Pendente,Transferência
7033,Empresa Alpha,2026-02-27,2026-03-29,Prestação de serviço,4529.31,Recebido,Boleto
7034,Cliente Delta,2026-03-01,2026-03-08,Prestação de serviço,4108.26,Recebido,Cartão
7035,Comercial Beta,2026-03-02,2026-03-17,Contrato mensal,11664.31,Recebido,Boleto
7036,Grupo Gamma,2026-03-04,2026-03-11,Contrato mensal,4995.47,Recebido,PIX
